Latitude,Longitude,Street,Number,Zip,Charted,Self_collected,LFL_num
33.777042,-84.373307,Mentelle Dr NE,,30308,0,1,
33.775758,-84.379829,Myrtle st NE,,30308,0,1,
33.777961,-84.37866,Penn Ave NE,,30308,0,1,
33.776216,-84.373865,6th St,,30308,0,1,
33.776918,-84.372529,Greenwood Ave,,30308,0,1,
33.7719,-84.3507,Seminole Dr,,30307,1,1,
33.782524,-84.366811,Cooledge Ave NE,629,30306,1,1,
33.76772,-84.375409,Pine Street NE,386,30308,1,1,
33.772505,-84.361099,Bonaventure Ave NE,662,30306,1,1,
,,East Ave,679,,,1,
33.779923,-84.356747,Adair Ave NE,929,30306,0,1,
33.779269,-84.356783,Highland View NE,942,30306,1,1,
,,Hudson Dr NE,1097,,,1,
33.783767,-84.357015,Maryland Ave NE,1066,30306,1,1,
,,N Highland Ave,299,,,1,
,,Edgewood Ave NE,889,,,1,
,,Euclid Ave Ne,882,,,1,
33.745665,-84.376601,Woodward Ave SE,336,30312,1,1,
33.748791,-84.365626,Powell St SE,214,30316,1,1,
33.748376,-84.366795,Berean Ave SE,227,30316,0,1,
33.749685,-84.366785,Berean Ave SE,177,30316,1,1,
33.750144,-84.354471,Flat Shoals Ave SE,142,30316,0,1,
33.765021,-84.333506,Candler Park Market,,30307,0,1,
33.783609,-84.413052,Brady Ave NW,,30318,0,1,
33.78066,-84.412775,Brady Ave NW,,30318,0,1,
33.770851,-84.357418,Linwood Ave NE,,30306,0,1,
33.789366,-84.38657,Arts Center Way NE,,30309,0,1,
33.780796,-84.386007,Midtown MARTA,,30309,0,1,
33.862202,-84.314327,Skyland Trail NE,,30319,0,1,
33.755946,-84.3664,Auburn Ave NE,659,30312,1,1,
33.72395,-84.353778,Shelby Pl SE,,30316,0,1,
33.731081,-84.364542,United Ave SE,810,30312,1,1,
33.661514,-84.420038,Elkins St,,30354,1,1,
33.740846,-84.366572,Waldo St SE,504,30312,1,1,
33.72055,-84.352269,Danner St SE,,30316,0,1,
33.720582,-84.352283,Knott St SE,,30316,0,1,
33.774265,-84.364658,Beltline Eastside Trail,,30312,0,1,
33.732042,-84.378409,Hill St SE,,30315,0,1,
33.726158,-84.378445,Hill St SE,1040,30315,0,1,
34.026432,-84.341506,Warsaw Rd,,30075,1,1,
33.785718,-84.371213,Piedmont Pk Trail,,30306,1,1,
33.711876,-84.362399,Swift Townhome Community,,30316,0,1,
33.777899,-84.359259,Drewry St NE,855,30306,0,1,
33.7270392,-84.3596075,Walker Ave SE,997,30316,1,1,
33.8196429,-84.4484503,Sara J. Gonzalez Memorial Park,,30318,1,1,171798
33.821799,-84.3397563,Kingsley Cir NE,1217,30324,,0,
33.826619,-84.380498,Peachtree Way NE,209,30305,,0,18164
33.8221046,-84.3802014,Springdale Dr NE,220,30305,,0,10683
33.7853214,-84.3978802,Atlantic Dr NW,1120,30318,,0,
34.0384425,-84.3654099,Woodstock Rd,10495,30075,,0,
33.7648472,-84.3048041,Olympic Pl,151,30030,,0,
33.7616859,-84.3099964,Hood Cir,139,30030,,0,
34.0144845,-84.3590315,Mill View Ave,95,30075,,0,
33.8571671,-84.3660676,Old Ivy Rd NE,649,30342,,0,
34.0696023,-84.3620154,Crabapple Lake Dr,,30075,,0,55401
34.0627606,-84.4068231,Woodstock Rd,1200,30075,,0,69995
33.6827977,-84.7935537,Alexander Pkwy,6550,30135,,0,
33.692773,-84.7786982,King Arthur Dr,6210,30135,,0,
33.653167,-84.6714793,Fairburn Campbellton Rd,8655,30213,,0,
33.7494207,-84.685281,Mack Rd,2105,30135,,0,
33.8792254,-84.6942144,Nectar Dr,3150,30127,,0,
33.6849974,-84.7386504,Coursey Lake Rd,4433,30135,,0,
33.75282,-84.30354,Knox St NE,2554,30317,,0,72915
33.78157,-84.3829,NW 57th St,812,30309,,0,
33.75551,-84.30548,5th Ave,101,30030,,0,
33.77047,-84.33059,,,30307,,0,18619
33.75755,-84.2968,S McDonough St,917,30030,,0,
33.95008,-84.38872,River Park Dr NW,45,30328,,0,
33.44191,-84.12147,Lake Dow Rd,99,30252,,0,
